广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
20260519_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_08A,USD,26.64,2.04923077,,,0,2026-05-22,2026-05-22
20260519_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_02A,USD,3.94,0,,,0,2026-05-22,2026-05-22
20260519_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_07A,USD,30.02,2.00133333,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_05A,USD,1.32,0,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_03A,USD,0.33,0,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_01A,USD,0.68,0,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_02A,USD,25.94,4.32333333,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_04A,USD,7.11,3.555,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_06A,USD,1.62,0.81,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_15A,USD,25.89,1.17681818,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_13A,USD,7.7,1.1,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_12A,USD,15.75,2.25,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_05A,USD,0.25,0,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_dhr_WZC_07A,USD,0.01,0,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_16A,USD,8.68,2.17,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_dhr_WZC_08A,USD,30.78,1.62,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_04A,USD,15.33,1.39363636,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_ZYL_pingme_FL_45A,USD,3.5,1.75,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_ZYL_pingme_FL_44A,USD,2.01,1.005,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_YZY_pingme_FL_108A,USD,10.78,3.59333333,,,0,2026-05-22,2026-05-22
"20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_16A - Copy",USD,20.19,2.52375,,,0,2026-05-22,2026-05-22
